epoch,term,round_number,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se
2010-2014,abuse,4,0.7063214293877551,0.1337934770078884,0.003822670771653955
2010-2014,abuse,5,0.7063214293877551,0.1337934770078884,0.003822670771653955
2010-2014,abuse,6,0.7063214293877551,0.1337934770078884,0.003822670771653955
2015-2019,abuse,1,0.6763227316734693,0.1343391050823508,0.003838260145210023
2015-2019,abuse,2,0.6763227316734693,0.1343391050823508,0.003838260145210023
2015-2019,abuse,3,0.6763227316734693,0.1343391050823508,0.003838260145210023
2015-2019,abuse,4,0.6763227316734693,0.1343391050823508,0.003838260145210023
2015-2019,abuse,5,0.6763227316734693,0.1343391050823508,0.003838260145210023
2015-2019,abuse,6,0.6763227316734693,0.1343391050823508,0.003838260145210023
1970-1974,anxiety,1,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1970-1974,anxiety,2,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1970-1974,anxiety,3,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1970-1974,anxiety,4,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1970-1974,anxiety,5,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1970-1974,anxiety,6,0.6086697140408164,0.11926010501254844,0.0034074315717870984
1975-1979,anxiety,1,0.6153620774693878,0.11626934587713667,0.003321981310775333
1975-1979,anxiety,2,0.6153620774693878,0.11626934587713667,0.003321981310775333
1975-1979,anxiety,3,0.6153620774693878,0.11626934587713667,0.003321981310775333
1975-1979,anxiety,4,0.6153620774693878,0.11626934587713667,0.003321981310775333
1975-1979,anxiety,5,0.6153620774693878,0.11626934587713667,0.003321981310775333
1975-1979,anxiety,6,0.6153620774693878,0.11626934587713667,0.003321981310775333
1980-1984,anxiety,1,0.6335948915102041,0.11816786639430113,0.003376224754122889
1980-1984,anxiety,2,0.6335948915102041,0.11816786639430113,0.003376224754122889
1980-1984,anxiety,3,0.6335948915102041,0.11816786639430113,0.003376224754122889
1980-1984,anxiety,4,0.6335948915102041,0.11816786639430113,0.003376224754122889
1980-1984,anxiety,5,0.6335948915102041,0.11816786639430113,0.003376224754122889
1980-1984,anxiety,6,0.6335948915102041,0.11816786639430113,0.003376224754122889
1985-1989,anxiety,1,0.6372726528979593,0.11493890827639204,0.0032839688078969156
1985-1989,anxiety,2,0.6372726528979593,0.11493890827639204,0.0032839688078969156
