target,epoch,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
mental_health,1980-1984,40,4.0873394427563365,3.9556413498144054,0.0443523413771197,0.04155153881607811
mental_health,1980-1984,60,4.137714484465899,3.9359966950360543,0.04616464807410396,0.041903350458807984
mental_health,1980-1984,80,4.191315785088951,3.914490426894401,0.04782307726216597,0.04211549926819657
mental_health,1985-1989,0,3.9892436430817155,3.9892436430817155,0.042501607575480486,0.042501607575480486
mental_health,1985-1989,100,4.218383016926454,3.8696045425731227,0.04965671747025247,0.04222955642308718
mental_health,1985-1989,20,4.022798221165102,3.9503101186070237,0.04426021816630828,0.042436094830138486
mental_health,1985-1989,40,4.059732638146451,3.9237325085643953,0.045740999447068886,0.04222755617727178
mental_health,1985-1989,60,4.1178846320027755,3.9179345687271345,0.04684818639938037,0.04201240514285953
mental_health,1985-1989,80,4.164734554150995,3.8921376817095044,0.048843163065017445,0.042361434655676926
mental_health,1990-1994,0,4.039435073581808,4.039435073581808,0.044297606992127134,0.044297606992127134
mental_health,1990-1994,100,4.264015808708932,3.9679142319681966,0.04661128261935609,0.04182038385995708
mental_health,1990-1994,20,4.082037066909882,4.021089949089413,0.04481289285782247,0.043293348304241704
mental_health,1990-1994,40,4.135808589711571,4.003160148152959,0.04552142390830801,0.04281484440357526
mental_health,1990-1994,60,4.176917244819509,3.985869934034496,0.04639723899706401,0.04280846891270447
mental_health,1990-1994,80,4.230642134171012,3.9828760154359144,0.046882430138950014,0.04282687479684
mental_health,1995-1999,0,4.0381385038554205,4.0381385038554205,0.04543963832824633,0.04543963832824633
mental_health,1995-1999,100,4.261867632264443,3.9450666762244837,0.04611777592577682,0.04250583205285104
mental_health,1995-1999,20,4.096127902069924,4.027565570416662,0.04628722831594141,0.045407621063582176
mental_health,1995-1999,40,4.1516291137168375,4.018260701284217,0.046596728257431164,0.04499356958137224
mental_health,1995-1999,60,4.198910947944773,3.998176879018275,0.04615021677133385,0.04399406116402519
mental_health,1995-1999,80,4.229926490237387,3.9692352282351573,0.046023532392363606,0.04318991692063869
mental_health,2000-2004,0,4.071146709946026,4.071146709946026,0.04578457131283941,0.04578457131283941
mental_health,2000-2004,100,4.28917893594067,3.9303991751222127,0.04699114672637547,0.04183162310431528
mental_health,2000-2004,20,4.119982400492381,4.041589170569234,0.04619220842750084,0.04479796708609994
mental_health,2000-2004,40,4.171896704793665,4.0232182626840665,0.04685540647320066,0.04429742660327779
mental_health,2000-2004,60,4.222517124523504,3.9930453188484734,0.04730988464851944,0.04387203174570608
mental_health,2000-2004,80,4.249139212879982,3.9539603260296174,0.04694564553837658,0.042845688171483265
mental_health,2005-2009,0,4.059891631258552,4.059891631258552,0.04436033780594176,0.04436033780594176
mental_health,2005-2009,100,4.309498557153936,3.9167815036320186,0.04630867623588093,0.0414325419776884
mental_health,2005-2009,20,4.119701776888464,4.031217646612957,0.04581893866276783,0.04424860832679818
mental_health,2005-2009,40,4.164550163370143,3.9977784057030705,0.04587254165266931,0.04319560176257296
mental_health,2005-2009,60,4.2329071071369135,3.978919372379118,0.046381925670821104,0.04284010043142078
mental_health,2005-2009,80,4.257866249482552,3.939745504552782,0.04610648698342101,0.04200270985619456
mental_health,2010-2014,0,4.075198066927263,4.075198066927263,0.04427888665486235,0.04427888665486235
mental_health,2010-2014,100,4.277352389460357,3.9241707277358904,0.04550885087141251,0.040878882700656996
mental_health,2010-2014,20,4.112666984271323,4.048313370989499,0.043809862925928644,0.04290874099767998
mental_health,2010-2014,40,4.138853205571488,3.9960971577826307,0.04462060975087427,0.04260925939113066
mental_health,2010-2014,60,4.19333709469104,3.975702272693641,0.044881571961623595,0.04171264549440789
mental_health,2010-2014,80,4.228329416671682,3.9424344755326883,0.04521047062230633,0.041072707893212476
