target,epoch,injection_ratio,avg_valence_index_negative,avg_valence_index_positive,SE_negative,SE_positive
depression,1970-1974,60,0.5078430985470626,0.5449253674219228,0.0012414764930096898,0.0011113838946373363
depression,1970-1974,80,0.5072272229179712,0.5561756533493541,0.001231653158369062,0.0010603886562873359
depression,1975-1979,0,0.5204248415333534,0.5204248415333534,0.0011562572097917282,0.0011562572097917282
depression,1975-1979,100,0.508415320253895,0.5610801174496645,0.0011333937358454125,0.0009762147187164923
depression,1975-1979,20,0.5189653729071537,0.5284721803377562,0.001171306327800239,0.00113673085523578
depression,1975-1979,40,0.5179567450863609,0.5387551274538529,0.0011481705606874064,0.0010802022903650683
depression,1975-1979,60,0.5157704096889952,0.5471972026947861,0.0011578937309985795,0.0010587537320665185
depression,1975-1979,80,0.5110683948447569,0.5555100513259196,0.0011465388451072272,0.0010110910831691155
depression,1980-1984,0,0.5230403037383177,0.5230403037383177,0.001119402599187119,0.001119402599187119
depression,1980-1984,100,0.5118940760266371,0.565510881104034,0.0010804364078190185,0.0009165709650302406
depression,1980-1984,20,0.5192517152658662,0.527919860874503,0.0011025464243496414,0.001075582128327754
depression,1980-1984,40,0.5142173943464875,0.535283251231527,0.0010908395901463922,0.001020641111521769
depression,1980-1984,60,0.5107864170538398,0.5436078340402969,0.0010703957164273953,0.0009688228560152961
depression,1980-1984,80,0.5115605763850029,0.5549008736559139,0.0010917444008503635,0.0009542763025179658
depression,1985-1989,0,0.5253700657894737,0.5253700657894737,0.0010874400043022659,0.0010874400043022659
depression,1985-1989,100,0.5112786523059929,0.5626115713522181,0.0010767379669116574,0.0009263822510368583
depression,1985-1989,20,0.5212433192686358,0.5321509762900977,0.0010782279158648514,0.0010441847232820275
depression,1985-1989,40,0.5208199943836,0.5435531414337116,0.0010765630882235064,0.0010088241739246416
depression,1985-1989,60,0.518480274321267,0.5505685908084164,0.0010888654666796136,0.000992201971399823
depression,1985-1989,80,0.5173113535297388,0.5579450808625337,0.0010727531256865695,0.0009481978550404411
depression,1990-1994,0,0.5249881823726746,0.5249881823726746,0.0011622303642238798,0.0011622303642238798
depression,1990-1994,100,0.5171098613469156,0.5615242470295662,0.0010936117796821062,0.0009638582187410495
depression,1990-1994,20,0.5226502998500748,0.5341885637503733,0.0011461845090413746,0.0011134472810281583
depression,1990-1994,40,0.5215779355220349,0.5408060029282576,0.0011338907479489795,0.00107611789799563
depression,1990-1994,60,0.5174881669535284,0.5435038146369031,0.0011087031331661035,0.0010311094677500508
depression,1990-1994,80,0.5180016565831174,0.5539914812728809,0.001111135061096218,0.0010011068762730826
depression,1995-1999,0,0.5242135737320434,0.5242135737320434,0.001117600288788516,0.001117600288788516
depression,1995-1999,100,0.5053330838323353,0.561205266955267,0.0011870313135235913,0.0010106021088008657
depression,1995-1999,20,0.5221268212905146,0.5334346515730668,0.0011398741288272077,0.0011002105959806332
