target,epoch,injection_ratio,avg_valence_index_negative,avg_valence_index_positive,se_valence_index_negative,se_valence_index_positive
health,1985-1989,100,0.4703973767533898,0.5349873987063767,,
health,1985-1989,20,0.4867892730757594,0.5020048367902636,,
health,1985-1989,40,0.4846411612629889,0.5131927509605884,,
health,1985-1989,60,0.4782687441669405,0.5200867105387151,,
health,1985-1989,80,0.4730993219129741,0.5286423552595079,,
health,1990-1994,0,0.4902241582106799,0.4902241582106799,,
health,1990-1994,100,0.4606445042714476,0.52689592666924,,
health,1990-1994,20,0.4809693655874579,0.4930315198581665,,
health,1990-1994,40,0.4777197346594184,0.5065038876440375,,
health,1990-1994,60,0.4717696220707147,0.5151924191918223,,
health,1990-1994,80,0.4672249979972839,0.5201123889833689,,
health,1995-1999,0,0.4966655507199465,0.4966655507199465,,
health,1995-1999,100,0.4602951889950782,0.5324888696074486,,
health,1995-1999,20,0.4897929184325039,0.5042580755539239,,
health,1995-1999,40,0.4823479957897216,0.5059934438541531,,
health,1995-1999,60,0.4770408284310251,0.5147804898452014,,
health,1995-1999,80,0.4678545118626208,0.5220050132256001,,
health,2000-2004,0,0.4901081299968064,0.4901081299968064,,
health,2000-2004,100,0.4531840930758045,0.5434828532934188,,
health,2000-2004,20,0.4832426991574466,0.4989283829443157,,
health,2000-2004,40,0.4732883642204105,0.5077466733697802,,
health,2000-2004,60,0.4645466681271791,0.5150513963811101,,
health,2000-2004,80,0.4583305821353569,0.5334895774796605,,
health,2005-2009,0,0.4738531000348739,0.4738531000348739,,
health,2005-2009,100,0.4434866414330899,0.5434780744761228,,
health,2005-2009,20,0.4704950075703673,0.4891014546412043,,
health,2005-2009,40,0.464812344643753,0.5009010236966424,,
health,2005-2009,60,0.4560171250407584,0.5066137599567883,,
health,2005-2009,80,0.4472131636966951,0.5228182072299532,,
health,2010-2014,0,0.4723754652580247,0.4723754652580247,,
health,2010-2014,100,0.4457924908315763,0.5449835526719691,,
health,2010-2014,20,0.4672850682595745,0.4927856043102219,,
health,2010-2014,40,0.4687487195730209,0.5107749382667243,,
health,2010-2014,60,0.4594749857746064,0.520125562787056,,
health,2010-2014,80,0.4530202020751313,0.5328226351179183,,
health,2015-2019,0,0.4793859517015516,0.4793859517015516,,
health,2015-2019,100,0.4230009896401315,0.5666829683259128,,
health,2015-2019,20,0.4698771726358682,0.4973508409559726,,
health,2015-2019,40,0.4570574364233762,0.5197361388169229,,
health,2015-2019,60,0.4449655886944382,0.5335157358795405,,
health,2015-2019,80,0.4330021828543395,0.549948074284941,,
illness,1970-1974,0,0.4091008283457783,0.4091008283457783,,
illness,1970-1974,100,0.4003397792577744,0.4447525242964427,,
illness,1970-1974,20,0.4049718080796302,0.4177461793161928,,
illness,1970-1974,40,0.4048721808977425,0.4261159840412437,,
illness,1970-1974,60,0.4061883670613169,0.432836014084518,,
illness,1970-1974,80,0.4002961968723685,0.4336057556513696,,
illness,1975-1979,0,0.3937275994839146,0.3937275994839146,,
illness,1975-1979,100,0.385820395199582,0.4447927244454622,,
illness,1975-1979,20,0.3891300665847957,0.4011673769261688,,
illness,1975-1979,40,0.3881518033519388,0.4125212182924151,,
illness,1975-1979,60,0.3883465295294299,0.425954364654608,,
illness,1975-1979,80,0.3876444414639846,0.4364544192301109,,
illness,1980-1984,0,0.3705771901290863,0.3705771901290863,,
illness,1980-1984,100,0.3428582362513989,0.4431909140199422,,
illness,1980-1984,20,0.3652907292544842,0.3856576496995985,,
illness,1980-1984,40,0.3565026894453914,0.401682883348316,,
illness,1980-1984,60,0.3516786479707807,0.4136745433285832,,
illness,1980-1984,80,0.3460097399633378,0.4285882696062327,,
illness,1985-1989,0,0.3961733304429799,0.3961733304429799,,
illness,1985-1989,100,0.3772053269334137,0.4424747706837952,,
illness,1985-1989,20,0.3935155705492943,0.4075899547282606,,
illness,1985-1989,40,0.3863183212410658,0.4168388040680438,,
illness,1985-1989,60,0.3896465692687779,0.4329021411743015,,
illness,1985-1989,80,0.3782391039654613,0.4325042262002825,,
illness,1990-1994,0,0.4087420987831428,0.4087420987831428,,
illness,1990-1994,100,0.3932754481174051,0.4489871313720942,,
illness,1990-1994,20,0.4053039167085662,0.4191781404512003,,
illness,1990-1994,40,0.4025254796212539,0.4265991554977372,,
illness,1990-1994,60,0.4028411170141772,0.4346188307227566,,
illness,1990-1994,80,0.3982670350316912,0.4401588638834655,,
illness,1995-1999,0,0.4053562351437285,0.4053562351437285,,
illness,1995-1999,100,0.3928421453759074,0.4506900912355631,,
illness,1995-1999,20,0.4010541457468644,0.411748998131603,,
illness,1995-1999,40,0.3936054519116878,0.4208104252601042,,
illness,1995-1999,60,0.3891550953183323,0.4269225321495906,,
illness,1995-1999,80,0.391821510036476,0.4395451877526938,,
illness,2000-2004,0,0.4199394752960652,0.4199394752960652,,
illness,2000-2004,100,0.393611152710393,0.4548596729096025,,
illness,2000-2004,20,0.4162402150910347,0.426989323263988,,
illness,2000-2004,40,0.4096621575970203,0.4312109959032386,,
illness,2000-2004,60,0.4056775008440018,0.4393826213236898,,
illness,2000-2004,80,0.3985270246341825,0.4448593781366944,,
illness,2005-2009,0,0.3972662139693275,0.3972662139693275,,
illness,2005-2009,100,0.3884375973120332,0.4447977712731809,,
illness,2005-2009,20,0.393697908854112,0.4045553326178342,,
illness,2005-2009,40,0.3870406192978844,0.4113040998345241,,
illness,2005-2009,60,0.3872020686464384,0.4211757037164643,,
illness,2005-2009,80,0.3891783313918858,0.4349911556970328,,
illness,2010-2014,0,0.4047085267696529,0.4047085267696529,,
