target,epoch,injection_ratio,avg_valence_index,SE,SD
depression,2010-2014,80,5.231250915482643,0.04560385550888238,3.7680487453954963
depression,2015-2019,0,5.095969868173258,0.0492672990493519,3.932752695860702
depression,2015-2019,100,5.214555140445552,0.04473338353741714,3.802863839365515
depression,2015-2019,20,5.110552357242883,0.04884999698430088,3.916234519776439
depression,2015-2019,40,5.13788644470868,0.04741553109667466,3.8892298543543506
depression,2015-2019,60,5.160382909520994,0.046967098058597626,3.862740444491531
depression,2015-2019,80,5.1767801991629385,0.0461668446084162,3.8429565418132956
mental_health,1970-1974,0,5.6718146316063525,0.0369299417425718,3.236799318307682
mental_health,1970-1974,100,5.622317234734434,0.03636226223425227,3.313358386157822
mental_health,1970-1974,20,5.659094122267312,0.03719041220926134,3.2504930890392285
mental_health,1970-1974,40,5.661140826873385,0.03699645791203982,3.2548473590644713
mental_health,1970-1974,60,5.642697220135237,0.03673900049486339,3.2831595606503066
mental_health,1970-1974,80,5.639831827309236,0.03682821092262162,3.2874206926185296
mental_health,1975-1979,0,5.6267578419071524,0.03670994462000913,3.277275037437806
mental_health,1975-1979,100,5.642416041333497,0.0362355334626621,3.2670307427075733
mental_health,1975-1979,20,5.619424253777944,0.036666854337092256,3.281017656653065
mental_health,1975-1979,40,5.6388065032639485,0.036225663251603174,3.2641312729166745
mental_health,1975-1979,60,5.636954302079443,0.03647126128276375,3.268402964190799
mental_health,1975-1979,80,5.6424513666584595,0.03621892397006431,3.2641269129320634
mental_health,1980-1984,0,5.654633766233767,0.03714696442225903,3.2596328990504513
mental_health,1980-1984,100,5.615537258130918,0.03884568653459441,3.316020342127066
mental_health,1980-1984,20,5.651216840438169,0.03751916094701455,3.265891565713534
mental_health,1980-1984,40,5.647350245716562,0.03767293553850829,3.268873474571183
mental_health,1980-1984,60,5.6417004638833665,0.037778614660112744,3.281524494794046
mental_health,1980-1984,80,5.632111607747529,0.038360716859234985,3.296121018211755
mental_health,1985-1989,0,5.569943533207852,0.03916876133073442,3.3780643992974535
mental_health,1985-1989,100,5.629515886915186,0.03713007319719733,3.3197690930274164
mental_health,1985-1989,20,5.597163840299106,0.038648851548230105,3.344633294397533
mental_health,1985-1989,40,5.6100563195808775,0.038115153164837684,3.3304444174085748
mental_health,1985-1989,60,5.616342893562779,0.037589562092467825,3.3293828668074377
mental_health,1985-1989,80,5.625394333843797,0.037513366823417826,3.3207276434836084
mental_health,1990-1994,0,5.569289765055361,0.039315291765740404,3.383400092514472
mental_health,1990-1994,100,5.640395163300923,0.037066760874920744,3.31990735997665
mental_health,1990-1994,20,5.586124950573348,0.03863603809641743,3.3653297724992988
mental_health,1990-1994,40,5.61266988391809,0.03812636782476684,3.338398411446227
mental_health,1990-1994,60,5.630155299598809,0.03777641110475558,3.3206733145897016
mental_health,1990-1994,80,5.632353091793625,0.037622217121207835,3.3250463557868843
mental_health,1995-1999,0,5.59482283464567,0.039987236302735193,3.372230586041549
mental_health,1995-1999,100,5.65954224431075,0.03774879882251917,3.3008081553922466
mental_health,1995-1999,20,5.614305670816044,0.0394767248537579,3.35668249190274
mental_health,1995-1999,40,5.636516577977896,0.03887314078339566,3.327913213115121
mental_health,1995-1999,60,5.637749766573297,0.038411376738709216,3.3258574339009175
mental_health,1995-1999,80,5.643280083802541,0.03796631393420191,3.3178735463051647
mental_health,2000-2004,0,5.504444137168141,0.04094836385887744,3.482296628902247
mental_health,2000-2004,100,5.678911817482696,0.03722984394721863,3.2884723062795933
mental_health,2000-2004,20,5.533812709030101,0.03988511846133576,3.4483908556302065
mental_health,2000-2004,40,5.552156624882059,0.03979305399852144,3.427519677565755
mental_health,2000-2004,60,5.6069335287065405,0.03892585335732125,3.372650589875085
mental_health,2000-2004,80,5.6336749254118565,0.03806439201936568,3.3420883019376744
mental_health,2005-2009,0,5.539871391076115,0.039346159130180434,3.434628977899477
mental_health,2005-2009,100,5.6305721487082545,0.037528396033102714,3.342977615459916
mental_health,2005-2009,20,5.560655523635414,0.03902966693781056,3.4154861314276843
mental_health,2005-2009,40,5.585251892456277,0.03863565547458106,3.3818890730195346
mental_health,2005-2009,60,5.589122058443238,0.038538393144018634,3.3891882078920963
mental_health,2005-2009,80,5.5964436530145,0.03810792617441991,3.378950541421231
mental_health,2010-2014,0,5.54774801061008,0.039551901464810066,3.434417117575356
mental_health,2010-2014,100,5.607639108730062,0.037236141933095386,3.374547832697608
mental_health,2010-2014,20,5.547824840349277,0.039214772077249695,3.4350439200131104
mental_health,2010-2014,40,5.569821678767036,0.0385154971498744,3.4126990903141854
mental_health,2010-2014,60,5.584969232701243,0.0381151097854497,3.401226333644773
mental_health,2010-2014,80,5.601337484433374,0.03772338764393159,3.380402849060253
mental_health,2015-2019,0,5.571611923820039,0.040062482340914585,3.4102563029890303
mental_health,2015-2019,100,5.626647127784291,0.03815287007449364,3.342896910840954
mental_health,2015-2019,20,5.571368821292776,0.03967313930223463,3.4045009296729525
mental_health,2015-2019,40,5.573145009416195,0.039444555636374654,3.4009351146641635
mental_health,2015-2019,60,5.583556721840936,0.039331734373520104,3.390523260284371
mental_health,2015-2019,80,5.609169154874724,0.03833774295674196,3.364778576256932
mental_illness,1970-1974,0,5.422870090634441,0.04358455048501426,3.5461864490312136
mental_illness,1970-1974,100,5.408034418411777,0.051495818173855436,3.5762724214957426
mental_illness,1970-1974,20,5.408711366538952,0.04027779294821978,3.5640726332981436
mental_illness,1970-1974,40,5.43236525785188,0.04028291133945143,3.5432936744028916
mental_illness,1970-1974,60,5.413039454456893,0.03933867186636992,3.5648738305544416
mental_illness,1970-1974,80,5.420783343969369,0.0449728184991664,3.5605295958271688
mental_illness,1975-1979,0,5.352690945877592,0.04032391752384181,3.585882445076187
mental_illness,1975-1979,100,5.4524642556770395,0.03827274031026041,3.4916403685201813
mental_illness,1975-1979,20,5.3517490494296585,0.04042122352062492,3.590442340859284
mental_illness,1975-1979,40,5.361618272841052,0.0400171567872556,3.5770055871235393
mental_illness,1975-1979,60,5.413511267782954,0.03958499323938616,3.5279535331097454
mental_illness,1975-1979,80,5.442886085163169,0.0385659438820456,3.501439404415048
mental_illness,1980-1984,0,5.332295081967214,0.041573753651844306,3.615721722258898
mental_illness,1980-1984,100,5.428246462691982,0.03870026063113835,3.5191711268222305
