target,corpus,year,count
founder,psych,1988,3
founder,psych,1989,4
founder,psych,1990,2
founder,psych,1991,3
founder,psych,1992,4
founder,psych,1993,5
founder,psych,1994,3
founder,psych,1995,8
founder,psych,1996,5
founder,psych,1997,4
founder,psych,1998,7
founder,psych,1999,4
founder,psych,2000,6
founder,psych,2001,5
founder,psych,2002,2
founder,psych,2003,3
founder,psych,2004,19
founder,psych,2005,16
founder,psych,2006,8
founder,psych,2007,9
founder,psych,2008,8
founder,psych,2009,10
founder,psych,2010,7
founder,psych,2011,11
founder,psych,2012,18
founder,psych,2013,15
founder,psych,2014,12
founder,psych,2015,13
founder,psych,2016,17
founder,psych,2017,8
founder,psych,2018,9
grief,psych,1972,1
grief,psych,1973,1
grief,psych,1974,1
grief,psych,1975,3
grief,psych,1977,12
grief,psych,1978,5
grief,psych,1979,7
grief,psych,1980,13
grief,psych,1981,13
grief,psych,1982,22
grief,psych,1983,17
grief,psych,1984,12
grief,psych,1985,20
grief,psych,1986,25
grief,psych,1987,51
grief,psych,1988,27
grief,psych,1989,45
grief,psych,1990,29
grief,psych,1991,95
grief,psych,1992,41
grief,psych,1993,69
grief,psych,1994,50
grief,psych,1995,79
grief,psych,1996,81
grief,psych,1997,45
grief,psych,1998,74
grief,psych,1999,66
grief,psych,2000,87
grief,psych,2001,105
grief,psych,2002,118
grief,psych,2003,83
grief,psych,2004,126
grief,psych,2005,121
grief,psych,2006,145
grief,psych,2007,121
grief,psych,2008,140
grief,psych,2009,163
grief,psych,2010,157
grief,psych,2011,201
grief,psych,2012,198
grief,psych,2013,244
grief,psych,2014,285
grief,psych,2015,245
grief,psych,2016,302
grief,psych,2017,290
grief,psych,2018,180
grief,psych,2019,1
harassment,psych,1973,1
harassment,psych,1974,1
harassment,psych,1978,5
harassment,psych,1979,1
harassment,psych,1980,2
harassment,psych,1981,1
harassment,psych,1982,3
harassment,psych,1983,6
harassment,psych,1984,7
harassment,psych,1985,10
harassment,psych,1986,29
harassment,psych,1987,13
harassment,psych,1988,12
harassment,psych,1989,29
harassment,psych,1990,25
harassment,psych,1991,33
harassment,psych,1992,50
harassment,psych,1993,75
harassment,psych,1994,40
harassment,psych,1995,129
harassment,psych,1996,77
harassment,psych,1997,82
harassment,psych,1998,93
harassment,psych,1999,75
harassment,psych,2000,68
harassment,psych,2001,60
harassment,psych,2002,83
harassment,psych,2003,68
harassment,psych,2004,109
harassment,psych,2005,84
harassment,psych,2006,81
harassment,psych,2007,118
harassment,psych,2008,133
harassment,psych,2009,125
harassment,psych,2010,102
harassment,psych,2011,127
harassment,psych,2012,83
harassment,psych,2013,121
harassment,psych,2014,145
harassment,psych,2015,141
harassment,psych,2016,235
harassment,psych,2017,120
harassment,psych,2018,159
horse,psych,1974,2
horse,psych,1977,1
horse,psych,1979,3
horse,psych,1980,2
horse,psych,1982,1
horse,psych,1983,4
horse,psych,1984,2
horse,psych,1985,2
horse,psych,1986,8
horse,psych,1987,1
horse,psych,1988,2
horse,psych,1989,5
